Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bermuda,135.8,105.9,122.1,149,136.8,104.3
2,Cayman Islands,119.9,74.1,99,126.9,99.7,144.9
3,Switzerland,109.8,47.9,81.5,109.5,108.1,165.7
4,Solomon Islands,104.1,20.2,65.7,66.8,45.8,13.2
5,Turkmenistan,101.6,23.9,66.1,116.3,88.4,18.5
6,Bahamas,101.3,48.5,77.2,102.5,115.5,58.5
7,Iceland,97.6,47.7,74.8,106.3,103.8,113.6
8,Jersey,91.1,48.5,71.6,80.1,103.8,101.8
9,Singapore,90.8,68.3,80.5,84.9,54.4,91.3
10,Israel,89.6,35.2,64.8,86.4,96.5,115
11,Norway,85.5,28.2,59.3,89.4,87.5,123.2
12,Luxembourg,78.6,47.1,64.2,78.1,85.6,155.1
13,Denmark,78.6,26.6,54.8,74.3,89.3,141.2
14,Isle Of Man,77.9,31.6,56.8,71.5,89.7,96.6
15,Hong Kong (China),76.4,59.1,68.5,76.2,46.3,85
16,Netherlands,73,35.9,56,67.4,78.9,124.3
17,Guernsey,72.8,54.7,64.5,77.1,71.1,146.9
18,Australia,71.4,33.1,53.9,82.2,66.7,134.8
19,Gibraltar,70.9,50.9,61.8,63.8,77.4,83.3
20,Ireland,70.8,41.4,57.4,70.6,76.3,113
21,Austria,70.8,23.8,49.3,72.1,70.8,114.2
22,United States,69.7,37.1,54.8,76.4,71.7,144.5
23,Finland,68.5,20.1,46.3,69.3,74.1,119.8
24,Belgium,68.3,22,47.2,68.1,77.3,117.1
25,United Kingdom,68.2,30.1,50.8,64.8,72.4,118.2
26,Germany,68,22,47,64.6,66.1,130
27,Seychelles,67.7,26.8,49,76.8,73.6,31.5
28,France,66.9,20.6,45.7,73.8,64.7,113.3
29,Sweden,65.5,20.1,44.7,67.5,67.1,128.6
30,Puerto Rico,65,23,45.8,72,57.2,109.9
31,Macao (China),64,27.3,47.2,81.7,43.4,78.8
32,Canada,61.3,29.1,46.6,69.2,61.1,114.8
33,Italy,61.3,18.9,41.9,63.8,64.2,85.5
34,New Zealand,60.2,24.6,43.9,67.5,56.1,119.4
35,Estonia,59.4,15.2,39.2,55.3,66,88.7
36,Jamaica,58.1,18.5,40,68.6,52,34.6
37,Cyprus,57.4,24.6,42.4,54.5,58.3,81.3
38,Yemen,57.1,6.2,33.8,74.7,38.8,16.6
39,Malta,56.9,27.2,43.3,57.2,63,76.6
40,Costa Rica,56.8,21.1,40.5,65.4,50.6,49.1
41,South Korea,56.7,13.6,37,72.2,32.8,101.7
42,United Arab Emirates,55.6,36.3,46.8,45.4,57.9,113.4
43,Trinidad And Tobago,54.4,14.1,36,57.4,48.9,42.7
44,Uruguay,54,14.4,35.9,54.2,55.4,56.8
45,Greece,53.3,12.9,34.8,51.7,57.2,62.3
46,Slovenia,53.2,18.2,37.2,52.7,49.2,87
47,Guyana,53,24.4,39.9,68.4,53.5,47.9
48,Czech Republic,52,19.1,37,50.7,41.3,89.2
49,Spain,51.4,22.3,38.1,51.9,53.9,96.8
50,Latvia,51.3,10.7,32.7,48.4,51.2,74.1
51,Croatia,51.3,16.1,35.2,49.7,53.2,82
52,Democratic Republic of the Congo,50.8,29.7,41.2,51.1,63.1,28.2
53,Senegal,50.4,18.2,35.7,49.6,42.2,22.3
54,Lithuania,50.2,13.7,33.5,47.1,55.5,87.5
55,Qatar,50.2,36.9,44.1,41.8,56.5,168.1
56,Belize,49.9,13.2,33.1,60,39.4,65.4
57,Hungary,49.8,14.2,33.6,49.7,47.1,77.3
58,Lebanon,49.8,17.3,35,43.8,48,35.6
59,Taiwan,49.1,13,32.6,67.1,26.8,99.5
60,Brunei,49,14.9,33.4,69,32.6,128
61,Portugal,48.7,23.5,37.1,47.5,45.7,65.3
62,Maldives,48.6,24.2,37.5,54.6,42.2,38.9
63,Slovakia,48.5,15.6,33.5,50,41.3,73.4
64,Papua New Guinea,47.9,27.7,38.7,57.8,33.5,20.2
65,Japan,47.6,13.6,32.1,58.2,30.8,107.3
66,Bahrain,46.8,21.2,35.1,45.6,43.4,117.3
67,Panama,46.5,21.7,35.2,53.8,42.9,42.1
68,Poland,46.2,16.4,32.6,41,46.5,94.7
69,Cape Verde,45.6,7.6,28.2,56.5,35.7,22.3
70,Oman,45.5,12,30.2,46.8,40.4,151.3
71,Saudi Arabia,45.4,12.4,30.3,42.7,34,115.7
72,Guatemala,45.4,18.7,33.2,53.7,41.3,32.8
73,Argentina,44.9,12.8,30.2,43.8,52.1,44.8
74,Albania,44.7,11.9,29.7,46.6,39.3,46.9
75,Ivory Coast,44.6,22.9,34.7,42.8,36.9,11.7
76,Mexico,44.4,17.1,31.9,49.6,44.6,46.8
77,Suriname,43.4,11.4,28.8,52.7,43.7,18.4
78,Kuwait,43.1,21.6,33.3,37.2,42.9,175.8
79,Montenegro,42.8,15.7,30.4,40.7,45.8,63.4
80,Serbia,42.5,11.8,28.5,39.8,42.7,63.1
81,Cuba,42.1,11.2,28,42.6,25.4,2.4
82,Bulgaria,42,10.6,27.6,44,42.6,78.6
83,El Salvador,41.6,16.7,30.2,45.5,36,26.8
84,Armenia,40.9,15,29.1,38.4,40.5,47.4
85,Ethiopia,40.4,16.8,29.6,40.7,24.5,12.5
86,Turkey,40.2,12.3,27.4,40,39.2,71.8
87,Jordan,39.9,6.6,24.6,37.2,41.4,55.3
88,Zambia,39.7,13.7,27.8,44.5,30.6,23.5
89,Romania,39.5,11,26.4,38.6,40.9,72.7
90,Dominican Republic,39.4,13.5,27.5,40.3,37,40.4
91,Russia,39.3,12.5,27.1,39.4,36.3,60.9
92,Cameroon,39.2,14.7,28,38,38.6,10.8
93,Venezuela,38.9,6.3,24,46.4,38.8,16.7
94,South Africa,38.9,12.8,27,35,36.2,105.5
95,Chile,38.7,10.6,25.8,42.4,38.4,50.4
96,Mauritius,38.6,10.9,25.9,42,31.2,54.1
97,Bosnia And Herzegovina,38.3,7.4,24.2,39.3,30.9,64.3
98,Ghana,38.1,11.6,26,42.1,37.8,18.1
99,Namibia,38,14.3,27.2,39.8,31.4,69
100,Myanmar,37.8,10,25.1,39.6,16.2,19.5
101,Mozambique,37.7,12.1,26,35.4,35.9,24.3
102,Honduras,36.8,11.7,25.3,39.7,32.1,38.9
103,Thailand,36.8,12.8,25.8,43.5,23.5,41
104,Nicaragua,36.2,7.3,23,43.4,27.5,24.6
105,Fiji,35.8,19.5,28.3,45.9,32.2,56.4
106,Moldova,35.7,13,25.3,33.1,32.2,55.6
107,Colombia,35.6,11.5,24.6,37.6,29.9,40
108,Angola,35.6,17.4,27.3,34.2,29.1,259.3
109,Zimbabwe,35.2,8.4,22.9,34.5,32.1,27.8
110,Cambodia,35.1,9.8,23.5,43.1,23.7,22.6
111,Georgia,34.9,11.5,24.2,35.1,37.5,43.2
112,North Macedonia,34.6,6.9,21.9,34.6,27.5,64.6
113,Mongolia,34.5,17.1,26.5,39.3,25.9,40.7
114,Malaysia,34,8.5,22.4,43.3,23.2,76.3
115,Brazil,33.1,8.6,21.9,33,29.8,44.3
116,Kazakhstan,32.7,10.8,22.7,34.1,34.1,52.1
117,Peru,32.5,9.8,22.1,36.5,26.3,48.4
118,Belarus,32.3,9.7,22,33.5,34.9,63.7
119,Paraguay,32,10.8,22.3,32.5,30.1,49.1
120,Botswana,31.7,6,19.9,30.7,30,80
121,Sri Lanka,31.3,7,20.2,43.7,21.4,19.7
122,Kosovo (Disputed Territory),31.2,7.5,20.4,35.1,25.1,56.4
123,Morocco,31.2,7.6,20.4,33.6,24.8,43.7
124,Azerbaijan,31.1,9.7,21.3,30.3,34.5,39.8
125,Ecuador,31,7.8,20.4,33.8,27.5,47.4
126,China,30.7,9.5,21,36.3,21.1,94.2
127,Philippines,29.1,7.2,19.1,35.3,19.4,32.1
128,Tunisia,29,5,18,35.3,18,33.6
129,Ukraine,29,7.7,19.3,30.2,26.4,48.1
130,Kenya,28.9,7.5,19.1,30.5,25.1,33.4
131,Bolivia,28.7,8.5,19.5,30.1,22.5,43.1
132,Uzbekistan,28.6,10.7,20.4,32.1,24.5,48.6
133,Iraq,28.6,6.8,18.6,28.7,25.6,57.6
134,Tajikistan,28,10.1,19.8,36,19.9,42.4
135,Kyrgyzstan,27.6,12.2,20.5,28.5,23.9,41.6
136,Uganda,27.2,9.7,19.2,28.9,24,18.6
137,Algeria,26.9,3.2,16.1,36.8,15.8,35.3
138,Vietnam,26.9,9.6,19,32.6,15.7,40.5
139,Syria,26.8,5.9,17.3,28.1,25.9,6.4
140,Rwanda,26.5,14.3,20.9,25.1,21.6,24.8
141,Tanzania,25.8,7.7,17.5,25.5,19.7,26.1
142,Indonesia,24.7,7.8,17,32.6,13.3,28.5
143,Madagascar,24.2,7.3,16.5,25.3,16.5,14.9
144,Bangladesh,22.7,2.4,13.4,27.4,16,32.8
145,Iran,22.1,6.8,15.1,21.4,14.6,30.7
146,Nepal,21.9,2.8,13.2,22.7,16.5,29.9
147,Afghanistan,21.6,2.5,12.9,20.2,15.3,38.5
148,Egypt,21.5,3.8,13.4,22.5,19.4,23.9
149,Pakistan,20.3,3.1,12.4,18.8,17.7,27.9
150,Nigeria,20.2,12.2,16.6,22.7,18.8,8.8
151,Libya,19.4,4.8,12.7,22.9,10.9,37.8
152,India,18.1,3.8,11.6,21.4,14.3,69.6